iter,wins,losses,draws
1,1,0,0
2,1,1,0
3,2,1,0
4,2,2,0
5,3,2,0
6,3,3,0
7,4,3,0
8,4,3,0
9,4,3,1
10,4,3,2
11,4,3,3
12,4,3,4
13,4,3,5
14,4,3,6
15,4,3,7
16,4,3,8
17,4,3,8
18,4,3,9
19,4,3,10
20,4,3,11
21,4,3,12
22,4,3,13
23,4,3,14
24,4,3,15
25,4,3,16
26,3,3,17
27,4,3,16
28,4,4,16
29,5,4,16
30,5,5,16
31,6,5,16
32,6,6,16
33,7,6,16
34,8,6,15
35,8,6,15
36,9,6,15
37,9,7,15
38,10,7,15
39,10,8,15
40,11,8,15
41,11,8,15
42,11,8,16
43,11,8,17
44,11,8,18
45,11,8,19
46,11,8,20
47,11,8,21
48,11,8,22
49,11,8,23
50,11,8,23
51,11,9,22
52,12,9,22
53,12,10,22
54,13,10,22
55,13,11,22
56,14,11,22
57,14,11,22
58,15,11,22
59,15,12,22
60,16,12,22
61,16,13,22
62,17,13,22
63,17,14,22
64,18,14,22
65,18,14,22
66,18,14,23
67,18,14,23
68,18,14,24
69,18,14,25
70,18,14,26
71,18,14,27
72,18,14,28
73,18,14,29
74,18,14,29
75,18,15,29
76,18,15,29
77,18,16,29
78,19,16,29
79,19,16,29
80,19,16,29
81,19,16,30
82,19,16,31
83,19,16,32
84,19,16,33
85,19,16,34
86,19,16,35
87,19,16,36
88,19,16,36
89,19,17,35
90,20,17,35
91,20,18,35
92,21,18,35
93,21,19,35
94,22,19,35
95,22,19,35
96,22,19,35
97,22,19,36
98,22,19,37
99,22,19,38
100,22,19,39
101,22,19,40
102,22,19,41
103,22,19,42
104,22,19,42
105,22,19,42
106,22,20,42
107,23,20,42
108,23,20,42
109,24,20,42
110,24,21,42
111,25,21,42
112,25,21,42
113,25,21,42
114,25,21,43
115,25,21,44
116,25,21,45
117,25,21,46
118,25,21,47
119,25,21,48
120,25,21,49
121,25,21,49
122,25,21,49
123,26,21,49
124,26,22,49
125,27,22,49
126,27,23,49
127,28,23,49
128,28,23,49
129,28,23,49
130,28,23,49
131,28,24,49
132,29,24,49
133,29,25,49
134,30,25,49
135,30,25,49
136,29,25,50
137,30,25,50
138,30,26,50
139,31,26,50
140,31,27,50
141,32,27,49
142,32,28,48
143,33,28,48
144,33,28,48
145,33,29,48
146,34,29,48
147,34,30,48
148,35,30,48
149,35,31,48
150,36,31,48
151,36,31,48
152,36,31,48
153,37,31,47
154,37,32,47
155,38,32,47
156,38,32,47
157,38,32,47
158,39,32,47
159,39,33,47
160,40,33,47
161,40,33,47
162,40,33,47
163,40,33,48
164,40,33,49
165,40,33,50
166,40,33,51
167,40,33,52
168,40,33,53
169,40,33,53
170,40,33,53
171,40,33,53
172,40,33,53
173,40,34,53
174,41,34,53
175,41,35,53
176,42,35,53
177,42,35,53
178,42,35,53
179,42,35,53
180,42,35,54
181,42,35,54
182,42,35,55
183,42,35,56
184,42,35,56
185,42,35,57
186,42,35,57
187,43,35,56
188,43,36,56
189,44,36,56
190,44,37,56
191,45,37,56
192,45,38,56
193,46,38,56
194,46,38,56
195,46,37,57
196,45,37,58
197,46,37,58
198,46,38,58
199,47,38,58
200,47,39,58
201,48,39,58
202,48,39,58
203,48,40,57
204,49,40,57
205,49,41,57
206,50,41,57
207,50,41,57
208,50,41,57
209,51,41,57
210,51,42,57
211,52,42,57
212,52,43,57
213,53,43,57
214,53,43,57
215,53,42,58
216,53,43,58
217,53,43,58
218,53,44,58
219,54,44,58
220,54,45,58
221,55,45,58
222,55,45,58
223,55,45,58
224,56,45,57
225,56,45,57
226,57,45,57
227,57,46,57
228,58,46,57
229,58,46,57
230,58,46,57
231,59,46,57
232,59,47,57
233,60,47,57
234,60,47,57
235,60,47,57
236,61,47,57
237,61,48,57
238,62,48,57
239,62,49,57
240,63,49,57
241,63,49,57
242,63,49,57
243,64,49,57
244,64,50,57
245,65,50,57
246,65,51,57
247,66,51,57
248,66,51,57
249,66,51,57
250,66,51,58
251,66,51,59
252,66,51,59
253,66,51,60
254,66,51,61
255,66,51,62
256,66,51,63
257,66,51,63
258,66,51,63
259,67,51,63
260,67,51,63
261,68,51,63
262,68,51,63
263,68,51,63
264,68,51,63
265,68,51,63
266,68,51,64
267,68,51,65
268,68,51,66
269,68,51,67
270,68,51,68
271,68,51,68
272,68,51,68
273,68,51,68
274,68,51,69
275,68,51,70
276,68,51,71
277,68,51,72
278,68,51,73
279,68,51,74
280,68,51,74
281,68,51,74
282,68,51,74
283,68,51,75
284,68,51,76
285,68,51,76
286,68,51,76
287,68,51,77
288,68,51,78
289,68,51,78
290,68,52,78
291,69,52,78
292,69,53,78
293,70,53,78
294,70,53,78
295,70,54,77
296,71,54,76
297,71,55,76
298,72,55,76
299,72,55,76
300,72,55,76
301,72,55,76
302,72,55,77
303,72,55,78
304,72,55,79
305,72,55,80
306,72,55,80
307,72,55,80
308,72,55,80
309,72,55,80
310,72,55,81
311,72,55,82
312,72,55,83
313,72,55,84
314,72,55,85
315,72,55,86
316,72,55,87
317,72,55,87
318,72,55,87
319,72,55,88
320,72,55,89
321,72,55,90
322,72,55,91
323,72,55,92
324,72,55,92
325,72,55,93
326,72,55,93
327,72,55,93
328,72,54,94
329,72,55,94
330,73,55,94
331,73,56,94
332,74,56,94
333,74,56,94
334,74,56,94
335,74,56,94
336,75,56,94
337,75,57,94
338,76,57,94
339,76,58,94
340,77,58,94
341,77,58,94
342,77,58,94
343,78,58,93
344,78,59,93
345,79,59,93
346,79,60,93
347,80,60,93
348,80,60,93
349,80,60,93
350,80,60,94
351,80,60,95
352,80,60,95
353,80,60,96
354,80,60,97
355,80,60,98
356,80,60,98
357,80,60,98
358,81,60,97
359,81,61,96
360,82,61,96
361,82,62,96
362,83,62,96
363,83,62,96
364,83,62,96
365,83,63,95
366,84,63,95
367,84,64,95
368,85,64,95
369,85,65,95
370,86,65,95
371,86,65,95
372,86,65,95
373,86,66,95
374,87,66,95
375,87,67,95
376,88,67,95
377,88,68,95
378,89,68,95
379,89,68,95
380,89,68,95
381,90,68,95
382,90,69,95
383,91,69,94
384,91,70,93
385,92,70,93
386,92,70,93
387,92,70,93
388,93,70,92
389,93,70,92
390,94,70,92
391,94,70,92
392,94,70,92
393,94,71,92
394,95,71,92
395,95,72,92
396,95,72,92
397,95,73,92
398,96,73,92
399,96,73,92
400,96,73,92
401,96,73,92
402,96,73,92
403,96,73,93
404,96,73,94
405,96,73,95
406,96,73,96
407,96,73,97
408,96,73,97
409,96,73,97
410,96,73,97
411,96,74,97
412,97,74,97
413,97,75,97
414,98,75,97
415,98,75,97
416,98,75,97
417,98,75,98
418,98,75,99
419,98,75,100
420,98,75,101
421,98,75,102
422,98,75,103
423,98,75,103
424,98,75,103
425,98,75,103
426,99,75,103
427,99,76,103
428,100,76,103
429,100,77,103
430,101,77,103
431,101,77,103
432,101,77,103
433,102,77,103
434,102,78,103
435,103,78,103
436,103,78,103
437,103,78,103
438,103,79,103
439,104,79,103
440,104,80,103
441,105,80,103
442,105,81,103
443,106,81,103
444,106,81,103
445,106,81,103
446,106,81,103
447,106,82,103
448,107,82,103
449,107,83,103
450,108,83,103
451,108,83,103
452,108,83,103
453,109,83,102
454,109,84,102
455,110,84,102
456,110,85,102
457,111,85,102
458,111,85,102
459,111,85,102
460,111,85,103
461,111,85,104
462,111,85,105
463,111,85,106
464,111,85,107
465,111,85,108
466,111,85,108
467,111,85,108
468,111,85,108
469,111,85,108
470,111,86,108
471,112,86,108
472,112,87,108
473,113,87,108
474,113,87,108
475,113,87,108
476,113,87,108
477,113,87,108
478,113,87,109
479,113,87,110
480,113,87,111
481,113,87,112
482,113,87,113
483,113,87,113
484,113,87,113
485,114,87,113
486,114,88,113
487,115,88,113
488,115,89,113
489,116,89,113
490,116,89,113
491,116,89,113
492,116,89,113
493,116,89,114
494,116,89,115
495,116,89,116
496,116,89,116
497,116,89,116
498,116,89,116
499,116,89,116
500,116,89,116
501,116,90,116
502,117,90,115
503,117,91,115
504,118,91,115
505,118,91,115
506,118,91,115
507,118,91,115
508,118,91,116
509,118,91,116
510,118,91,117
511,118,91,118
512,118,91,118
513,118,91,118
514,118,91,118
515,118,91,118
516,119,91,118
517,119,92,118
518,120,92,118
519,120,93,118
520,121,93,118
521,121,93,118
522,121,93,118
523,122,93,117
524,122,94,117
525,123,94,117
526,123,95,117
527,124,95,117
528,124,95,117
529,124,95,117
530,124,95,117
531,124,95,117
532,124,95,117
533,124,95,117
534,124,95,117
535,124,95,118
536,124,95,118
537,124,95,118
538,124,95,118
539,125,95,118
540,125,96,118
541,126,96,118
542,126,96,118
543,126,96,118
544,126,96,119
545,126,96,120
546,126,96,121
547,126,96,122
548,126,96,123
549,126,96,124
550,126,96,125
551,126,96,125
552,126,96,125
553,127,96,125
554,127,97,125
555,128,97,125
556,128,98,125
557,129,98,125
558,129,98,125
559,129,98,125
560,129,98,125
561,129,99,125
562,130,99,125
563,130,100,125
564,131,100,125
565,131,100,125
566,131,100,125
567,130,100,126
568,130,100,126
569,130,101,126
570,131,101,126
571,131,101,126
572,132,101,126
573,132,101,126
574,132,101,126
575,132,101,126
576,132,101,126
577,132,101,127
578,132,101,127
579,132,101,127
580,132,101,127
581,132,101,127
582,132,101,127
583,132,101,127
584,132,101,128
585,132,101,129
586,132,101,130
587,132,101,130
588,132,101,131
589,132,101,132
590,132,101,132
591,132,101,132
592,132,101,132
593,133,101,131
594,133,102,130
595,134,102,130
596,134,103,130
597,135,103,130
598,135,103,130
599,135,103,130
600,135,103,130
601,135,104,130
602,136,104,130
603,136,105,130
604,137,105,130
605,137,105,130
606,137,105,130
607,137,105,131
608,137,105,131
609,137,105,132
610,137,105,133
611,137,105,134
612,137,105,135
613,137,105,136
614,137,105,136
615,137,105,136
616,137,105,136
617,137,105,136
618,138,105,136
619,138,105,136
620,138,105,136
621,138,105,136
622,138,106,136
623,139,106,136
624,139,107,136
625,140,107,136
626,140,107,136
627,140,107,136
628,140,107,137
629,140,107,138
630,140,107,139
631,140,107,140
632,140,107,141
633,140,107,142
634,140,107,143
635,140,107,143
636,140,107,143
637,141,107,143
638,141,108,143
639,142,108,143
640,142,109,143
641,143,109,143
642,143,109,143
643,143,109,143
644,143,109,143
645,143,109,143
646,144,109,143
647,144,109,143
648,145,109,143
649,145,109,143
650,145,109,143
651,145,110,142
652,146,110,142
653,146,111,142
654,147,111,142
655,147,111,142
656,147,111,142
657,147,111,142
658,147,111,143
659,147,111,143
660,147,111,144
661,147,111,144
662,147,111,145
663,147,111,145
664,147,111,145
665,147,111,145
666,147,111,146
667,147,111,147
668,147,111,148
669,147,111,148
670,147,111,149
671,147,111,150
672,147,111,151
673,147,111,151
674,147,111,151
675,147,111,151
676,147,111,151
677,147,111,152
678,147,111,152
679,147,111,153
680,147,111,154
681,147,111,155
682,147,111,155
683,147,111,155
684,147,112,154
685,148,112,154
686,148,113,154
687,149,113,154
688,149,114,154
689,150,114,154
690,150,114,154
691,150,114,154
692,151,114,154
693,151,115,154
694,151,115,154
695,151,116,154
696,151,116,154
697,151,116,154
698,151,116,154
699,151,116,155
700,151,116,156
701,151,116,157
702,151,116,158
703,151,116,159
704,151,116,159
705,151,116,159
706,151,116,159
707,151,116,159
708,151,116,160
709,151,116,161
710,151,116,161
711,151,116,162
712,151,116,163
713,151,116,164
714,151,116,165
715,151,116,165
716,151,116,165
717,152,116,165
718,152,117,165
719,153,117,165
720,153,117,165
721,153,117,165
722,153,117,165
723,153,117,165
724,153,117,165
725,153,117,166
726,153,117,167
727,153,117,168
728,153,117,169
729,153,117,169
730,153,117,169
731,153,117,169
732,153,117,169
733,153,117,169
734,153,117,169
735,153,117,170
736,153,117,171
737,153,117,171
738,153,117,171
739,153,117,171
740,153,118,171
741,154,118,171
742,154,118,171
743,155,118,171
744,155,119,171
745,156,119,171
746,156,119,171
747,156,119,171
748,156,119,171
749,156,120,171
750,157,120,170
751,157,121,170
752,158,121,170
753,158,121,170
754,158,121,170
755,158,121,170
756,158,121,171
757,158,121,172
758,158,121,172
759,158,121,173
760,158,121,173
761,158,121,173
762,158,121,173
763,158,121,173
764,158,121,173
765,158,121,173
766,158,121,173
767,158,121,174
768,158,121,174
769,158,121,175
770,158,121,176
771,158,121,176
772,158,121,176
773,158,122,176
774,159,122,176
775,159,122,176
776,160,122,176
777,160,122,176
778,160,122,176
779,161,122,175
780,161,123,175
781,162,123,175
782,162,123,175
783,162,123,175
784,162,123,175
785,162,124,175
786,163,124,175
787,163,125,175
788,164,125,175
789,164,125,175
790,164,125,175
791,164,125,175
792,164,125,176
793,164,125,176
794,164,125,177
795,164,125,177
796,164,125,178
797,164,125,178
798,164,125,178
799,164,125,178
800,164,125,178
801,165,125,178
802,165,126,177
803,166,126,177
804,166,126,177
805,166,126,177
806,166,126,177
807,166,126,177
808,166,126,177
809,166,126,177
810,166,126,178
811,166,126,179
812,166,126,179
813,166,126,179
814,166,126,179
815,165,126,180
816,166,126,179
817,166,127,178
818,167,127,178
819,167,128,178
820,168,128,178
821,168,128,178
822,168,128,178
823,169,128,178
824,169,129,178
825,170,129,178
826,170,129,178
827,169,129,179
828,170,129,178
829,170,129,178
830,171,129,178
831,171,129,178
832,171,129,178
833,171,129,178
834,171,129,179
835,171,129,180
836,171,129,181
837,171,129,182
838,171,129,183
839,171,129,183
840,171,129,183
841,171,129,183
842,172,129,182
843,172,130,182
844,173,130,182
845,173,131,182
846,174,131,182
847,174,131,182
848,174,131,182
849,174,131,182
850,174,132,182
851,174,132,182
852,174,132,182
853,174,132,182
854,174,131,183
855,174,132,183
856,175,132,183
857,175,133,183
858,176,133,183
859,176,133,183
860,176,133,183
861,177,133,182
862,177,134,182
863,178,134,182
864,178,135,182
865,179,135,182
866,179,136,182
867,180,136,182
868,180,136,182
869,180,136,182
870,180,136,182
871,180,136,183
872,180,136,184
873,180,136,185
874,180,136,186
875,180,136,186
876,180,136,186
877,180,136,186
878,180,136,186
879,180,136,186
880,180,136,186
881,180,136,187
882,180,136,188
883,180,136,188
884,180,136,189
885,180,136,190
886,180,136,190
887,180,136,190
888,180,136,190
889,180,136,190
890,180,136,190
891,180,136,190
892,180,136,191
893,180,136,191
894,180,136,191
895,180,136,191
896,180,136,191
897,180,136,191
898,180,136,191
899,180,136,192
900,180,136,192
901,180,136,192
902,180,136,192
903,180,136,192
904,180,136,192
905,180,136,192
906,180,136,193
907,180,136,194
908,180,136,194
909,180,136,195
910,180,136,195
911,180,136,196
912,180,136,197
913,180,136,197
914,180,136,197
915,179,136,198
916,180,136,197
917,179,136,198
918,180,136,198
919,180,136,198
920,180,136,198
921,180,136,198
922,180,136,198
923,180,136,198
924,180,136,198
925,180,136,198
926,180,136,198
927,180,136,199
928,180,136,199
929,180,136,199
930,180,136,199
931,180,136,199
932,180,136,199
933,180,136,199
934,180,136,200
935,180,136,200
936,180,136,200
937,180,136,200
938,180,136,200
939,180,136,201
940,180,136,202
941,180,136,203
942,180,136,204
943,180,136,205
944,180,136,205
945,180,136,205
946,180,136,205
947,180,136,205
948,180,136,205
949,180,136,205
950,180,136,206
951,180,136,207
952,180,136,208
953,180,136,209
954,180,136,209
955,180,136,209
956,180,136,209
957,181,136,209
958,181,136,209
959,182,136,209
960,182,137,209
961,183,137,209
962,183,138,209
963,184,138,209
964,184,138,209
965,184,138,209
966,185,138,209
967,185,139,209
968,186,139,209
969,186,139,209
970,186,139,209
971,186,138,210
972,186,139,210
973,187,139,210
974,187,140,210
975,188,140,210
976,188,140,210
977,188,140,210
978,188,140,210
979,188,140,210
980,189,140,210
981,189,140,210
982,189,140,210
983,189,140,210
984,189,141,210
985,190,141,210
986,190,142,210
987,191,142,210
988,191,142,210
989,192,142,209
990,192,143,209
991,193,143,209
992,193,144,209
993,193,144,209
994,193,145,209
995,194,145,209
996,194,145,209
997,194,145,209
998,194,145,209
999,195,145,209
1000,195,145,209
1001,196,145,209
1002,196,146,209
1003,197,146,209
1004,197,146,209
1005,197,146,209
1006,197,145,210
1007,197,146,210
1008,197,145,211
1009,197,146,211
1010,198,146,211
1011,198,146,211
1012,198,146,211
1013,198,147,211
1014,199,147,211
1015,198,147,212
1016,199,147,212
1017,199,147,212
1018,199,147,212
1019,199,147,212
1020,199,147,212
1021,200,147,212
1022,200,147,212
1023,200,147,212
1024,200,146,213
1025,200,147,213
1026,201,147,213
1027,201,147,213
1028,201,147,213
1029,201,147,213
1030,201,148,213
1031,201,148,213
1032,201,148,213
1033,201,148,213
1034,201,148,214
1035,201,148,214
1036,201,148,215
1037,201,148,216
1038,201,148,217
1039,201,148,217
1040,201,148,217
1041,201,148,217
1042,201,148,217
1043,201,149,217
1044,202,149,217
1045,202,150,217
1046,202,150,217
1047,202,151,217
1048,203,151,217
1049,203,151,217
1050,203,151,217
1051,203,151,217
1052,203,151,217
1053,203,151,217
1054,203,151,217
1055,203,151,218
1056,203,151,219
1057,203,151,220
1058,203,151,220
1059,203,151,220
1060,204,151,220
1061,204,152,220
1062,205,152,220
1063,205,153,219
1064,206,153,219
1065,206,154,219
1066,207,154,219
1067,207,154,219
1068,207,154,219
1069,207,154,219
1070,207,154,220
1071,207,154,221
1072,207,154,222
1073,207,154,223
1074,207,154,224
1075,207,154,225
1076,207,154,225
1077,207,154,225
1078,207,154,225
1079,207,155,225
1080,208,155,225
1081,208,155,225
1082,209,155,225
1083,209,155,225
1084,209,155,225
1085,209,154,226
1086,209,154,226
1087,210,154,226
1088,210,155,226
1089,211,155,226
1090,211,155,226
1091,211,155,226
1092,211,155,226
1093,211,155,227
1094,211,155,228
1095,211,155,228
1096,211,155,229
1097,211,155,230
1098,211,155,230
1099,211,155,230
1100,211,155,230
1101,211,155,230
1102,211,156,230
1103,211,156,230
1104,211,156,230
1105,211,156,230
1106,211,156,230
1107,211,156,230
1108,211,156,230
1109,211,156,231
1110,211,156,231
1111,211,156,232
1112,211,156,233
1113,211,156,234
1114,211,156,235
1115,211,156,235
1116,210,157,235
1117,211,157,234
1118,211,157,234
1119,212,157,234
1120,212,157,234
1121,212,157,234
1122,212,157,234
1123,212,157,234
1124,211,157,235
1125,212,157,235
1126,212,158,235
1127,213,158,235
1128,213,158,235
1129,213,158,235
1130,213,158,235
1131,213,158,235
1132,213,158,235
1133,213,158,236
1134,213,158,237
1135,213,158,238
1136,213,158,238
1137,213,158,238
1138,213,158,238
1139,213,158,238
1140,213,159,238
1141,214,159,238
1142,214,159,238
1143,215,159,238
1144,215,159,238
1145,215,159,238
1146,215,159,238
1147,215,159,238
1148,215,159,239
1149,215,159,240
1150,215,159,241
1151,215,159,242
1152,215,159,242
1153,215,159,242
1154,215,159,242
1155,215,159,242
1156,215,159,242
1157,216,159,242
1158,216,160,242
1159,217,160,242
1160,217,160,242
1161,217,160,242
1162,217,160,242
1163,217,160,242
1164,217,160,242
1165,217,160,242
1166,218,160,242
1167,218,160,242
1168,218,160,242
1169,218,160,242
1170,218,160,242
1171,218,160,243
1172,218,160,244
1173,218,160,245
1174,218,160,245
1175,218,160,245
1176,218,160,245
1177,218,160,245
1178,218,159,246
1179,218,159,246
1180,218,159,246
1181,218,160,246
1182,219,160,246
1183,219,160,246
1184,219,160,246
1185,218,160,247
1186,218,160,247
1187,218,161,247
1188,219,161,247
1189,219,162,247
1190,219,162,247
1191,219,162,247
1192,219,162,247
1193,219,162,247
1194,219,162,248
1195,219,162,248
1196,219,162,248
1197,219,162,248
1198,219,162,248
1199,219,162,248
1200,219,162,248
1201,219,162,248
1202,219,162,248
1203,219,162,248
1204,219,162,248
1205,219,162,248
1206,219,162,249
1207,219,162,250
1208,219,162,250
1209,219,162,250
1210,219,162,250
1211,219,163,249
1212,220,163,249
1213,220,163,249
1214,220,163,249
1215,220,163,249
1216,221,163,249
1217,221,163,249
1218,221,163,249
1219,222,163,248
1220,222,164,248
1221,223,164,248
1222,223,165,248
1223,224,165,248
1224,224,165,248
1225,224,165,248
1226,224,166,247
1227,224,165,248
1228,224,166,248
1229,225,166,248
1230,225,167,248
1231,226,167,248
1232,226,167,248
1233,226,167,248
1234,226,167,248
1235,226,167,248
1236,226,167,248
1237,226,167,248
1238,226,167,248
1239,226,167,248
1240,226,167,248
1241,226,167,248
1242,226,167,248
1243,226,167,248
1244,226,168,248
1245,227,168,248
1246,227,169,248
1247,227,169,248
1248,227,169,248
1249,227,169,248
1250,227,169,248
1251,227,169,248
1252,228,169,248
1253,228,169,248
1254,228,169,248
1255,228,169,248
1256,228,169,248
1257,228,169,249
1258,228,169,250
1259,228,169,251
1260,228,169,252
1261,228,169,253
1262,228,169,253
1263,228,169,253
1264,228,169,253
1265,228,169,253
1266,228,169,253
1267,228,169,253
1268,228,169,253
1269,228,169,253
1270,228,169,253
1271,228,169,253
1272,228,169,253
1273,228,169,253
1274,229,169,253
1275,229,170,253
1276,230,170,253
1277,230,171,253
1278,231,171,253
1279,231,171,253
1280,231,171,253
1281,231,171,253
1282,231,171,254
1283,231,171,254
1284,231,171,255
1285,231,171,255
1286,231,171,255
1287,231,171,255
1288,231,171,255
1289,231,171,255
1290,232,171,254
1291,232,171,254
1292,233,171,254
