iter,conv.weight_ave,fc1.weight_ave,fc2.weight_ave,fc_action1.weight_ave,fc_action2.weight_ave,fc_value1.weight_ave,fc_value2.weight_ave,conv.weight_max,fc1.weight_max,fc2.weight_max,fc_action1.weight_max,fc_action2.weight_max,fc_value1.weight_max,fc_value2.weight_max,conv.weight_min,fc1.weight_min,fc2.weight_min,fc_action1.weight_min,fc_action2.weight_min,fc_value1.weight_min,fc_value2.weight_min
1,0.0016523883678019047,0.0009533681441098452,0.002342813415452838,0.0008714014547877014,0.003896554931998253,0.0007757794228382409,0.017788773402571678,0.0024469562340527773,0.001219807076267898,0.018651237711310387,0.010983542539179325,0.16580016911029816,0.004723077639937401,0.00990134198218584,0.008339621126651764,0.008435666561126709,0.01175848487764597,0.01245651300996542,0.057886041700839996,0.009369606152176857,0.01688845269382
2,0.0014609917998313904,0.001109232660382986,0.0018724126275628805,0.0008251087856478989,0.0034164581447839737,0.0007320333970710635,0.015377536416053772,0.0024649507831782103,0.001370383077301085,0.010059718042612076,0.01029137708246708,0.0337306410074234,0.0054194931872189045,0.010922746732831001,0.0058914353139698505,0.010335460305213928,0.017352722585201263,0.011741719208657742,0.04583366960287094,0.016918227076530457,0.01761971227824688
3,0.0011919825337827206,0.0009926891652867198,0.004439198412001133,0.000777224893681705,0.006249744910746813,0.001119113527238369,0.023471146821975708,0.0028155609034001827,0.0007090180297382176,0.007506143301725388,0.005365394987165928,0.0485687255859375,0.0039811935275793076,0.007543496787548065,0.014107022434473038,0.008978044614195824,0.02460864745080471,0.01638573780655861,0.08310399204492569,0.018653279170393944,0.007473963778465986
4,0.0012217696057632565,0.0009284357656724751,0.005071433261036873,0.0007543623796664178,0.005961231421679258,0.0007305539329536259,0.012215791270136833,0.0031840428709983826,0.0015299143269658089,0.030918676406145096,0.021309100091457367,0.3617928624153137,0.0037486888468265533,0.00678652711212635,0.014996960759162903,0.008072304539382458,0.027158677577972412,0.010296368040144444,0.05133455619215965,0.019425807520747185,0.01689435914158821
5,0.0022641848772764206,0.0015720718074589968,0.008676069788634777,0.0011851188028231263,0.010277214460074902,0.001105584902688861,0.016099590808153152,0.0037822159938514233,0.0029210569337010384,0.04670015722513199,0.04543687403202057,0.5881441831588745,0.006855429615825415,0.009845034219324589,0.023608284071087837,0.01208456140011549,0.0453641414642334,0.018944574519991875,0.07951720803976059,0.023862700909376144,0.03294659033417702
6,0.0023293960839509964,0.0010596704669296741,0.005116686224937439,0.001002672826871276,0.007045005913823843,0.0012823183787986636,0.018595285713672638,0.003880860982462764,0.0012461580336093903,0.016469094902276993,0.010855162516236305,0.2011558711528778,0.010137139819562435,0.006588502321392298,0.014293419197201729,0.01121537759900093,0.03232796862721443,0.030385615304112434,0.08747288584709167,0.031748589128255844,0.01577472686767578
7,0.002868240000680089,0.0012961311731487513,0.006036488339304924,0.0012077634455636144,0.006999951787292957,0.0015072205569595098,0.01636558771133423,0.004452350549399853,0.001297441078349948,0.004177779890596867,0.014248766005039215,0.02702842652797699,0.007059956900775433,0.01160335261374712,0.01565161906182766,0.008940156549215317,0.026394270360469818,0.03074062243103981,0.08267474174499512,0.044210102409124374,0.015111527405679226
8,0.0038231569342315197,0.0014422942185774446,0.005070951301604509,0.0011986421886831522,0.006386669352650642,0.0018279911018908024,0.015962224453687668,0.005364532116800547,0.001530206180177629,0.007929869927465916,0.009716091677546501,0.03656931221485138,0.01117684692144394,0.009934667497873306,0.013294150121510029,0.009968455880880356,0.02261868678033352,0.025617321953177452,0.06517666578292847,0.04064930975437164,0.016321396455168724
9,0.0040784673765301704,0.001810789224691689,0.008890978991985321,0.0017065684078261256,0.008694875054061413,0.0020685321651399136,0.015560789965093136,0.006162707228213549,0.0038361400365829468,0.025594204664230347,0.03481380641460419,0.20196345448493958,0.012388507835566998,0.016954569146037102,0.02865532599389553,0.01648169755935669,0.035337433218955994,0.023962806910276413,0.05229426547884941,0.044890813529491425,0.03660602495074272
10,0.005578020121902227,0.0022840569727122784,0.009147262200713158,0.0021329009905457497,0.009385508485138416,0.0025904469657689333,0.01658898964524269,0.009436432272195816,0.003342950716614723,0.012491758912801743,0.028685487806797028,0.025385551154613495,0.015228615142405033,0.01999589428305626,0.026538459584116936,0.017646800726652145,0.027845842763781548,0.05490606650710106,0.09631554782390594,0.10581184923648834,0.038452211767435074
11,0.007441551890224218,0.00208918284624815,0.00938897579908371,0.0025146296247839928,0.011005781590938568,0.0034877960570156574,0.018287809565663338,0.00883527286350727,0.0027711547445505857,0.009275234304368496,0.020999154075980186,0.029363535344600677,0.018081873655319214,0.013966449536383152,0.022103291004896164,0.018707532435655594,0.030366819351911545,0.04838556423783302,0.07575828582048416,0.05754352733492851,0.02541806548833847
12,0.006171848624944687,0.0028894725255668163,0.01683209277689457,0.0033572339452803135,0.015109176747500896,0.0036051138304173946,0.016442377120256424,0.010139796882867813,0.011071491055190563,0.0547984316945076,0.06873147934675217,0.5569488406181335,0.022744089365005493,0.020195454359054565,0.04038439691066742,0.028793562203645706,0.05520222336053848,0.06004971265792847,0.07582508027553558,0.07640306651592255,0.09814675897359848
13,0.008858896791934967,0.00328343128785491,0.016316430643200874,0.004110540263354778,0.014002479612827301,0.004348639864474535,0.016177043318748474,0.012031377293169498,0.014432746917009354,0.05239041522145271,0.11177828907966614,0.7887763977050781,0.028537055477499962,0.017279205843806267,0.03992287442088127,0.037982676178216934,0.05403862148523331,0.05484067276120186,0.06770628690719604,0.09234239906072617,0.10277274250984192
14,0.006830950733274221,0.0024005910381674767,0.01235027052462101,0.0030384529381990433,0.011439360678195953,0.005024205893278122,0.016765905544161797,0.014052473939955235,0.002388907130807638,0.011709697544574738,0.012971331365406513,0.11114313453435898,0.02202066220343113,0.01857231743633747,0.03638702258467674,0.020534174516797066,0.03328525647521019,0.07427570223808289,0.08099612593650818,0.1404232382774353,0.02483155019581318
15,0.008184867911040783,0.003193719545379281,0.013594364747405052,0.0037082605995237827,0.010473866015672684,0.006527876015752554,0.01722416654229164,0.020780209451913834,0.007621916942298412,0.02048012986779213,0.04757627472281456,0.15307289361953735,0.0250364001840353,0.02100534364581108,0.030224330723285675,0.03090520203113556,0.03973321616649628,0.05513077974319458,0.05299801379442215,0.18536634743213654,0.053389471024274826
16,0.010442997328937054,0.002759681548923254,0.010039993561804295,0.0032743411138653755,0.00825594738125801,0.0041892435401678085,0.00951415952295065,0.01823558658361435,0.007525419816374779,0.014810197986662388,0.04051997885107994,0.17897354066371918,0.03423047065734863,0.021901162341237068,0.023656588047742844,0.02103547193109989,0.02489272505044937,0.0513516440987587,0.04583529010415077,0.16081774234771729,0.048029109835624695
17,0.009912886656820774,0.0029761861078441143,0.0117612574249506,0.0041698855347931385,0.009271143935620785,0.0038733668625354767,0.008595407009124756,0.019448984414339066,0.01240767166018486,0.022699596360325813,0.050811540335416794,0.2015984058380127,0.03055897355079651,0.027424346655607224,0.0385081022977829,0.02433169074356556,0.02932511642575264,0.05210341140627861,0.03902147337794304,0.27363476157188416,0.09231071174144745
18,0.01031804271042347,0.0025005878414958715,0.0076077282428741455,0.0034730208572000265,0.006131093017756939,0.0056924717500805855,0.010717460885643959,0.030677037313580513,0.011547557078301907,0.014725541695952415,0.0456131212413311,0.1313990354537964,0.027871202677488327,0.019764184951782227,0.026444368064403534,0.028004115447402,0.021467585116624832,0.0669177994132042,0.04479056969285011,0.34713873267173767,0.06219957768917084
19,0.008739909157156944,0.00231138220988214,0.006644462235271931,0.00338682159781456,0.006114237476140261,0.005132101010531187,0.008476127870380878,0.02963930368423462,0.008739969693124294,0.012231903150677681,0.07534228265285492,0.21691757440567017,0.029936373233795166,0.019585302099585533,0.019658245146274567,0.03559746965765953,0.0287385955452919,0.0693676695227623,0.042158614844083786,0.20149117708206177,0.06307508796453476
20,0.009446742944419384,0.0024129184894263744,0.008508892729878426,0.0034033944830298424,0.0069223674945533276,0.007095769979059696,0.010098320432007313,0.03872063755989075,0.009461566805839539,0.015249300748109818,0.05057679861783981,0.17935356497764587,0.034622471779584885,0.0206193495541811,0.025845544412732124,0.031128371134400368,0.024267522618174553,0.05271531268954277,0.0248967744410038,0.31481269001960754,0.047557730227708817
21,0.00748053565621376,0.0018698904896155,0.0045210206881165504,0.002568185329437256,0.00440972251817584,0.005957608576864004,0.00877464096993208,0.03799424320459366,0.005919146817177534,0.006465960294008255,0.022981373593211174,0.029530197381973267,0.030739489942789078,0.015683630481362343,0.012900315225124359,0.017305800691246986,0.01745021529495716,0.06578120589256287,0.03533116728067398,0.31243762373924255,0.04977227747440338
22,0.00991735141724348,0.002888032700866461,0.00981620978564024,0.004425893537700176,0.006362603046000004,0.011134028434753418,0.011599608696997166,0.04415526241064072,0.018812410533428192,0.01914508268237114,0.06428519636392593,0.2163853794336319,0.028271015733480453,0.022469541057944298,0.029233688488602638,0.03782076761126518,0.027035797014832497,0.09455811232328415,0.04347580671310425,0.37481510639190674,0.11208633333444595
23,0.009429744444787502,0.002246539108455181,0.005023736506700516,0.0035268301144242287,0.005531527567654848,0.008202704600989819,0.009412958286702633,0.06610000133514404,0.013880087994039059,0.012153428047895432,0.06783127784729004,0.14127476513385773,0.02762093022465706,0.023957014083862305,0.013805404305458069,0.02474045194685459,0.02345368079841137,0.09867086261510849,0.04702089726924896,0.5366568565368652,0.11564987897872925
24,0.012186523526906967,0.0036453716456890106,0.020829012617468834,0.007076546084135771,0.014129620976746082,0.009309425950050354,0.009738913737237453,0.07257033884525299,0.037939783185720444,0.04830749332904816,0.13356220722198486,0.4488602578639984,0.04080173745751381,0.02734321542084217,0.05557197704911232,0.057556796818971634,0.05318158119916916,0.09417033195495605,0.03603654354810715,0.5595095753669739,0.2333328127861023
