iter,conv.weight_ave,fc1.weight_ave,fc2.weight_ave,fc_action1.weight_ave,fc_action2.weight_ave,fc_value1.weight_ave,fc_value2.weight_ave,conv.weight_max,fc1.weight_max,fc2.weight_max,fc_action1.weight_max,fc_action2.weight_max,fc_value1.weight_max,fc_value2.weight_max,conv.weight_min,fc1.weight_min,fc2.weight_min,fc_action1.weight_min,fc_action2.weight_min,fc_value1.weight_min,fc_value2.weight_min
1,0.001478284248150885,0.0012311210157349706,0.0009021061705425382,0.00071341497823596,0.00359959970228374,0.0006821092683821917,0.0026117756497114897,0.005886607337743044,0.008169012144207954,0.009237570688128471,0.015908675268292427,0.02702268958091736,0.013016486540436745,0.014377743937075138,4.1786523070186377e-05,3.154273144900799e-07,0.0,0.0,0.0,0.0,0.0
2,0.0023202281445264816,0.001545698381960392,0.0012882750015705824,0.0010508173145353794,0.0037864912301301956,0.001008371589705348,0.0037347462493926287,0.009655388072133064,0.019638383761048317,0.011102071963250637,0.01955603063106537,0.04222436621785164,0.02228151448071003,0.01502432581037283,2.940265039796941e-05,2.3614848032593727e-07,0.0,0.0,0.0,0.0,0.0
3,0.0027145135682076216,0.001898793037980795,0.0016848411178216338,0.0008284816285595298,0.0036462252028286457,0.001718277926556766,0.015307779423892498,0.00974818505346775,0.019653979688882828,0.020082181319594383,0.015632489696145058,0.028693458065390587,0.04326719790697098,0.05752073600888252,2.19613139051944e-06,7.59624526835978e-07,0.0,0.0,0.0,0.0,0.0
4,0.003115701023489237,0.0014489894965663552,0.0012058322317898273,0.0009965526405721903,0.004007849842309952,0.0006522246985696256,0.005668603349477053,0.015340671874582767,0.013619866222143173,0.012717979960143566,0.030687952414155006,0.04090820252895355,0.017853781580924988,0.0198996439576149,0.00011388363782316446,1.3583339750766754e-06,0.0,0.0,0.0,0.0,0.0
5,0.0029257070273160934,0.0015545557253062725,0.0012607926037162542,0.0009186699753627181,0.004274968523532152,0.0011180357541888952,0.0026232306845486164,0.012105562724173069,0.014035521075129509,0.011569546535611153,0.030435441061854362,0.04245767742395401,0.027228396385908127,0.01409715972840786,4.46625635959208e-05,3.9579754229635e-07,0.0,0.0,0.0,0.0,0.0
6,0.00526951951906085,0.00182895187754184,0.0019384932238608599,0.001021163072437048,0.004557511303573847,0.0025390228256583214,0.032743435353040695,0.01814902387559414,0.019993513822555542,0.024227939546108246,0.044186241924762726,0.03899884223937988,0.06613997370004654,0.10123127698898315,4.705507308244705e-06,3.0930095817893744e-07,0.0,0.0,0.0,0.0,0.0
7,0.004031222779303789,0.002426773076876998,0.002108039567247033,0.001839792588725686,0.0058827269822359085,0.004794424399733543,0.03360942378640175,0.012524385005235672,0.025146495550870895,0.023309411481022835,0.059767868369817734,0.06789381802082062,0.09052962809801102,0.12696906924247742,0.0001548526342958212,5.146721377968788e-07,0.0,0.0,0.0,0.0,0.0
8,0.00787343643605709,0.0024407238233834505,0.002553391270339489,0.0016730781644582748,0.006313465069979429,0.0029291247483342886,0.03534657880663872,0.023525184020400047,0.02138080634176731,0.02578931860625744,0.05960990861058235,0.053242892026901245,0.05406348779797554,0.11985833942890167,5.8988574892282486e-05,1.3362878235056996e-06,0.0,0.0,0.0,0.0,0.0
9,0.005697173997759819,0.0027314487379044294,0.0027689661365002394,0.001899117836728692,0.00770563306286931,0.009195798076689243,0.0651005282998085,0.022106658667325974,0.015630273148417473,0.03178200125694275,0.053294647485017776,0.07447178661823273,0.14331509172916412,0.215805321931839,6.819271948188543e-05,1.1801603250205517e-06,0.0,0.0,0.0,0.0,0.0
10,0.0038371935952454805,0.0013865386135876179,0.0013852003030478954,0.0019267083844169974,0.009069488383829594,0.0038140283431857824,0.015568588860332966,0.010612520389258862,0.012389836832880974,0.016025684773921967,0.0670514702796936,0.07396800816059113,0.04202711209654808,0.053762830793857574,8.338072802871466e-05,3.6807614378631115e-07,0.0,0.0,0.0,0.0,0.0
